word,phonetic,definition_zh,definition_en,example,tags,audio_file
abnormal,,"adj.反常的,变态的;",,,sholvoir;cet6;exam;core,
abolish,,"vt.废止,废除(法律、制度、习俗等)",,,sholvoir;cet6;exam;core,
abortion,,"n.流产,堕胎,失败,夭折,中止,早产",,,sholvoir;cet6;exam;core,
abrupt,,"adj.突然的,陡峭的,生硬的",,,sholvoir;cet6;exam;core,
absence,,"n.不在,缺席,缺乏,没有",,,sholvoir;cet6;exam;core,
absorb,,"vt.吸收,吸引",,,sholvoir;cet6;exam;core,
abstract,,"n.摘要,概要,抽象;adj.抽象的,深奥的,理论的;vt.摘要,提炼,抽象化",,,sholvoir;cet6;exam;core,
absurd,,"adj.荒谬的,可笑的",,,sholvoir;cet6;exam;core,
abundance,,"n.丰富,充裕,丰富充裕",,,sholvoir;cet6;exam;core,
abundant,,"adj.丰富的,充裕的,丰富,盛产,富于",,,sholvoir;cet6;exam;core,
abuse,,"n.滥用,虐待,辱骂,陋习;v.滥用,虐待,辱骂",,,sholvoir;cet6;exam;core,
academic,,"adj.学院的,理论的",,,sholvoir;cet6;exam;core,
accelerate,,"v.加速,促进",,,sholvoir;cet6;exam;core,
acceptance,,"n.接受,承诺,容忍,赞同,相信",,,sholvoir;cet6;exam;core,
access,,"n.通路,访问,入门;vt.存取,接近",,,sholvoir;cet6;exam;core,
accessory,,"n.附件,零件,附加物,从犯,同谋者;adj.附属的,补充的,同谋的,副的",,,sholvoir;cet6;exam;core,
accident,,"n.意外事件,事故",,,sholvoir;cet6;exam;core,
accommodate,,"vt.供应,供给,使适应,调节,和解,向...提供,容纳,调和;vi.适应",,,sholvoir;cet6;exam;core,
accommodation,,"n.住处,膳宿,(车,船,飞机等的)预定铺位,(眼睛等的)适应性调节,(社会集团间的)迁就融合",,,sholvoir;cet6;exam;core,
accomplish,,"vt.完成,达到,实现",,,sholvoir;cet6;exam;core,
accord,,"n.一致,符合,调和,协定;vt.一致,给与;vi.符合",,,sholvoir;cet6;exam;core,
accordance,,"n.一致,和谐",,,sholvoir;cet6;exam;core,
account,,"n.计算,帐目,说明,估计,理由;vi.说明,总计有,认为,得分;vt.认为",,,sholvoir;cet6;exam;core,
accumulate,,"v.积聚,堆积",,,sholvoir;cet6;exam;core,
accurate,,"adj.正确的,精确的",,,sholvoir;cet6;exam;core,
accuse,,"vt.控告,谴责,非难",,,sholvoir;cet6;exam;core,
accustomed,,"adj.通常的,习惯的,按照风俗习惯的",,,sholvoir;cet6;exam;core,
achievement,,"n.成就,功绩",,,sholvoir;cet6;exam;core,
