word,phonetic,definition_zh,definition_en,example,tags,audio_file
hale,heɪl,adj  健壮的， 矍铄的,"someone, especially an old person, who is hale and hearty is very healthy and active",She’s still hale and hearty at 74.,sholvoir;gre;exam;core,
belligerent,bi'lidʒərənt,adj  发动战争的； 好斗的， 好挑衅的,very unfriendly and wanting to argue or fight,a belligerent attitude,sholvoir;gre;exam;core,
supplant,sə'plænt,v  排挤， 取代,"to take the place of a person or thing so that they are no longer used, no longer in a position of power etc",Barker was soon supplanted as party leader.,sholvoir;gre;exam;core,
abrupt,ə'brʌpt,adj  突然的， 意外的； 唐突的,sudden and unexpected,an abrupt change of plan,sholvoir;gre;exam;core,
predispose,'pridɪ'spoz,v  使预先有倾向； 易受感染,to make someone more likely to suffer from a particular health problem,They take pains to hire people whose personalities predispose them to serve customers well.,sholvoir;gre;exam;core,
spontaneous,spɑn'tenɪəs,adj  自发的； 自然的,"something that is spontaneous has not been planned or organized, but happens by itself, or because you suddenly feel you want to do it",The crowd gave a spontaneous cheer.,sholvoir;gre;exam;core,
blameworthy,'blemwɝði,adj  该责备的， 有过失的,deserving blame or disapproval,blameworthy conduct,sholvoir;gre;exam;core,
gloomy,'ɡlumi,adj  阴暗的； 没有希望的； 阴郁的， 忧郁的,sad because you think the situation will not improve,Anne dismissed these gloomy thoughts from her mind.,sholvoir;gre;exam;core,
deference,'dɛfərəns,n  敬意， 尊重,polite behaviour that shows that you respect someone and are therefore willing to accept their opinions or judgment,...the older political tradition of deference to great leaders.,sholvoir;gre;exam;core,
compassionate,kəm'pæʃənət,adj  有同情心的,feeling sympathy for people who are suffering,"a caring, compassionate man",sholvoir;gre;exam;core,
other-directed,'ʌðədi'rektid,adj  受人支配的,,Pisces is a water element. ruled by mystical neptune this sign is extremely receptive compassionate and other-directed .,sholvoir;gre;exam;core,
protective,prə'tɛktɪv,adj  保护的， 防护的,used or intended for protection,protective clothing,sholvoir;gre;exam;core,
grandiloquence,græn'dɪləkwəns,n  豪言壮语， 夸张之言,,A hero is more than one hundred times grandiloquence! ! ! ! !,sholvoir;gre;exam;core,
bogus,'bogəs,adj  伪造的， 假的,"not true or real, although someone is trying to make you think it is",bogus insurance claims,sholvoir;gre;exam;core,
flit,flɪt,v  掠过， 迅速飞过,,Birds flitted about in the trees above them.,sholvoir;gre;exam;core,
indigence,"'indidʒəns,-dʒənsi",n  贫穷， 贫困,,"For one of the poets has said, 'Application to business is the root of prosperity, but those who ask questions that do not concern them are steering the ship of folly towards the rock of indigence'.",sholvoir;gre;exam;core,
vengeance,'vɛndʒəns,n  报仇， 报复,a violent or harmful action that someone does to punish someone for harming them or their family,a desire for vengeance,sholvoir;gre;exam;core,
authenticate,ɔ'θɛntɪket,v  证明…是真实的,to prove that something is true or real,The painting has been authenticated by experts.,sholvoir;gre;exam;core,
concede,kən'sid,v  承认； 让步,"to admit that something is true or correct, although you wish it were not true","‘That’s the only possible solution.’ ‘Yes, I suppose so,’ Charles conceded.",sholvoir;gre;exam;core,
grumpy,'ɡrʌmpi,adj  脾气暴躁的,bad-tempered and easily annoyed,Mina’s always a bit grumpy first thing in the morning.,sholvoir;gre;exam;core,
reprimand,'rɛprɪmænd,v  训诫， 谴责; n 训诫，谴责,to tell someone officially that something they have done is very wrong; Reprimand is also a noun,He was reprimanded by a teacher for talking in the corridor.,sholvoir;gre;exam;core,
transitional,træn'zɪʃənl,adj  转变的， 变迁的,,We live in the transitional age between that decision and its conclusion.,sholvoir;gre;exam;core,
wreak,rik,v  发泄， 报复； 发泄怒火,to do something unpleasant to someone to punish them for something they have done to you,He promised to wreak vengeance on those who had betrayed him.,sholvoir;gre;exam;core,
commission,kə'mɪʃən,n  委托； 佣金,an extra amount of money that is paid to a person or organization according to the value of the goods they have sold or the services they have provided,The dealer takes a 20% commission on the sales he makes.,sholvoir;gre;exam;core,
flip,flɪp,v 用指轻弹；蹦蹦跳跳; adj  无礼的； 冒失的； 轻率的,not said or meant seriously,I was fed up with his flip comments.,sholvoir;gre;exam;core,
nibble,'nɪbl,v  一点点地咬， 慢慢啃,to eat small amounts of food by taking very small bites,He nibbled the biscuit cautiously.,sholvoir;gre;exam;core,
rescind,rɪ'sɪnd,v  废除， 取消,"to officially end a law, or change a decision or agreement",The governor does not have the authority to rescind the ruling.,sholvoir;gre;exam;core,
resume,rɪ'zuːm,v  重新开始， 继续,to start doing something again after stopping or being interrupted,She hopes to resume work after the baby is born.,sholvoir;gre;exam;core,
tatter,'tætə,v  撕碎; n 碎片,"to make or become ragged or worn to shreds ; torn or ragged pieces, esp of material ",,sholvoir;gre;exam;core,
spiral,'spaɪrəl,adj 螺旋形的；上升的; v  螺旋式上升或下降,Spiral is also an adjective; to move in a continuous curve that gets nearer to or further from its central point as it goes round,...a spiral staircase.,sholvoir;gre;exam;core,
pied,paɪd,adj  杂色的,used in the names of birds that are black and white,a pied wagtail,sholvoir;gre;exam;core,
effrontery,ɪ'frʌntrɪ,n  厚颜无耻； 放肆,rude behaviour that shocks you because it is so confident,The man had the effrontery to be sarcastic.,sholvoir;gre;exam;core,
gripping,'grɪpɪŋ,adj  吸引注意力的， 扣人心弦的,"a gripping film, story etc is very exciting and interesting",Collins’ gripping detective novel,sholvoir;gre;exam;core,
stasis,'stesɪs,n  停滞,a state or period in which there is no change or development,Rock 'n' roll had entered a period of stasis.,sholvoir;gre;exam;core,
obvious,'ɑbvɪəs,adj  明显的， 显而易见的,easy to notice or understand,The obvious way of reducing pollution is to use cars less.,sholvoir;gre;exam;core,
dogged,'dɔɡɪd,adj  顽强的,dogged behaviour shows that you are very determined to continue doing something,a dogged determination to succeed,sholvoir;gre;exam;core,
earthy,'ɝθi,adj  粗俗的， 土气的,"tasting, smelling, or looking like earth or soil",earthy colours,sholvoir;gre;exam;core,
undulate,'ʌndʒə'let,v  波动， 起伏,to move or be shaped like waves that are rising and falling,undulating hills,sholvoir;gre;exam;core,
obese,o'bis,adj  极胖的,very fat in a way that is unhealthy,Obese people tend to have higher blood pressure than lean people.,sholvoir;gre;exam;core,
empty,ˈɛmptɪ,adj 空的，缺乏的; v  变空， 把…弄空,having nothing inside; to remove everything that is inside something,an empty box,sholvoir;gre;exam;core,
goof,ɡuf,v  犯错误； 闲逛， 消磨时间,to make a silly mistake,Somebody goofed and entered the wrong amount.,sholvoir;gre;exam;core,
beatific,",biə'tɪfɪk",adj  幸福的， 快乐的,"a beatific look, smile etc shows great peace and happiness",...a beatific smile.,sholvoir;gre;exam;core,
deploy,dɪ'plɔɪ,v  部署； 拉长， 展开 especially in width,"to organize or move soldiers, military equipment etc so that they are in the right place and ready to be used",The president said he had no intention of deploying ground troops.,sholvoir;gre;exam;core,
huddle,'hʌdl,v 挤成一团; n  一堆人,"if a group of people huddle together, they stay very close to each other, especially because they are cold or frightened; a group of people or things that are close together, but not arranged in any particular order, pattern, or system",We lay huddled together for warmth.,sholvoir;gre;exam;core,
