word,phonetic,definition_zh,definition_en,example,tags,audio_file
cancel,'kænsl,v  取消， 废除； 删去， 删除； 抵消,to decide that something that was officially planned will not happen,Our flight was cancelled.,sholvoir;toefl;exam;core,
recline,rɪ'klaɪn,v  向后倚靠， 斜倚,to lie or lean back in a relaxed way,She proceeded to recline on a chaise longue.,sholvoir;toefl;exam;core,
explosive,ɪk'splosɪv; ɪk'splozɪv,adj 爆炸的，爆发的；使人冲动的; n  炸药,able or likely to explode; a substance that can cause an explosion,"Because the gas is highly explosive, it needs to be kept in high-pressure containers.",sholvoir;toefl;exam;core,
prepare,prɪ'pɛr,v  准备， 预备,to make plans or arrangements for something that will happen in the future,The prosecution wanted more time to prepare their case.,sholvoir;toefl;exam;core,
crusade,kru'sed,v  加入十字军， 投身正义运动; n 十字军；斗争，运动,to take part in a crusade; a determined attempt to change something because you think you are morally right,,sholvoir;toefl;exam;core,
supplant,sə'plænt,vt  取代， 代替,"to take the place of a person or thing so that they are no longer used, no longer in a position of power etc",Barker was soon supplanted as party leader.,sholvoir;toefl;exam;core,
surgeon,'sɝdʒən,n  外科医师,a doctor who does operations in a hospital,...a heart surgeon.,sholvoir;toefl;exam;core,
abrupt,ə'brʌpt,adj  突然的， 意外的； 唐突的， 鲁莽的,sudden and unexpected,an abrupt change of plan,sholvoir;toefl;exam;core,
discourage,dɪs'kɝɪdʒ,vt  使泄气， 使灰心； 阻止， 劝阻,to make someone less confident or less willing to do something,You should not let one failure discourage you.,sholvoir;toefl;exam;core,
predispose,'pridɪ'spoz,v  事先影响某人； 易受感染,,They take pains to hire people whose personalities predispose them to serve customers well.,sholvoir;toefl;exam;core,
spontaneous,spɑn'tenɪəs,adj  自发的， 自然产生的； 自然的， 无雕饰的,"something that is spontaneous has not been planned or organized, but happens by itself, or because you suddenly feel you want to do it",The crowd gave a spontaneous cheer.,sholvoir;toefl;exam;core,
convection,kən'vɛkʃən,n  对流； 传送,"the movement in a gas or liquid caused by warm gas or liquid rising, and cold gas or liquid sinking","...clouds which lift warm, moist air by convection high into the atmosphere.",sholvoir;toefl;exam;core,
wreck,rɛk,vt 使失事；破坏; n  沉船； 失事,to completely spoil something so that it cannot continue in a successful way; a ship that has sunk,Injury threatened to wreck his sporting career.,sholvoir;toefl;exam;core,
twinkling,'twɪŋklɪŋ,adj  闪光的; n 瞬间，一眨眼,very quickly,"On a clear night, I could see stars twinkling in the sky.",sholvoir;toefl;exam;core,
